offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
021140096,2021-05-19,Wednesday,15:20:00,103,1,23F,Larceny From Vehicle,Hills Park,D,33.801693,-84.436453
021791668,2021-06-27,Sunday,21:17:00,102,1,23H,Larceny Non Vehicle,Vine City,L,33.755768,-84.416631
200041082,2021-01-04,Monday,16:00:00,605,6,23C,Larceny Non Vehicle,Grant Park,W,33.746503,-84.378535
202611428,2021-09-18,Saturday,18:04:00,112,1,23C,Larceny Non Vehicle,Collier Heights,I,33.777383,-84.477433
202771329,2020-10-03,Saturday,16:29:00,109,1,13A,Agg Assault,Center Hill,J,33.773172,-84.462489
202771625,2020-10-03,Saturday,19:00:00,311,3,120,Robbery,Glenrose Heights,Z,33.680124,-84.395728
202771908,2020-10-03,Saturday,21:30:00,105,1,13A,Agg Assault,Hunter Hills,K,33.760872,-84.426391
202831055,2020-10-09,Friday,15:02:00,102,1,23C,Larceny Non Vehicle,Vine City,L,33.755758,-84.413691
202972173,2020-10-23,Friday,22:29:00,612,6,120,Robbery,East Atlanta,W,33.730409,-84.336533
203130323,2020-12-08,Tuesday,03:16:00,208,2,23F,Larceny From Vehicle,Buckhead Forest,B,33.846656,-84.376344
203131920,2020-11-08,Sunday,23:58:00,114,1,23C,Larceny Non Vehicle,Bankhead/Bolton,H,33.787392,-84.494529
203371412,2020-12-02,Wednesday,18:00:00,509,5,240,Auto Theft,Downtown,M,33.770654,-84.389471
203471614,2020-12-12,Saturday,19:00:00,503,5,23F,Larceny From Vehicle,Midtown,E,33.780458,-84.38881
203510133,2020-12-16,Wednesday,01:50:00,409,4,13A,Agg Assault,Southwest,R,33.704541999999996,-84.468344
203510899,2020-12-16,Wednesday,10:00:00,508,5,23F,Larceny From Vehicle,Downtown,M,33.764315,-84.388238
203510961,2020-12-15,Tuesday,21:50:00,304,3,13A,Agg Assault,Peoplestown,V,33.730455,-84.387574
203560702,2020-12-21,Monday,12:00:00,410,4,23H,Larceny Non Vehicle,Campbellton Road,R,33.701046,-84.46646
203570108,2020-12-22,Tuesday,01:34:00,210,2,220,Burglary,Buckhead Heights,B,33.848247,-84.354648
203571590,2020-12-22,Tuesday,06:46:00,409,4,240,Auto Theft,Southwest,R,33.692468,-84.490825
203620518,2020-12-27,Sunday,01:00:00,206,2,23F,Larceny From Vehicle,Buckhead Village,B,33.83973,-84.374391
203631147,2020-12-28,Monday,16:47:00,204,2,23C,Larceny Non Vehicle,Berkeley Park,D,33.80328,-84.411933
203651066,2020-12-11,Friday,13:00:00,602,6,23H,Larceny Non Vehicle,Inman Park,N,33.762309,-84.360046
203651072,2020-12-07,Monday,12:00:00,604,6,23H,Larceny Non Vehicle,Sweet Auburn,M,33.751499,-84.378391
203651429,2020-12-30,Wednesday,19:30:00,112,1,23C,Larceny Non Vehicle,Collier Heights,I,33.777383,-84.477433
203661262,2020-12-28,Monday,14:00:00,413,4,23H,Larceny Non Vehicle,Arlington Estates,P,33.691754,-84.534809
203661275,2020-12-31,Thursday,17:21:00,210,2,23C,Larceny Non Vehicle,Lenox,B,33.846726,-84.36242
203661695,2020-12-31,Thursday,20:02:00,502,5,240,Auto Theft,Midtown,E,33.78938,-84.388232
203661695,2020-12-31,Thursday,20:02:00,502,5,23F,Larceny From Vehicle,Midtown,E,33.78938,-84.388232
203661761,2020-12-31,Thursday,20:00:00,503,5,240,Auto Theft,Midtown,E,33.786219,-84.386389
203661785,2020-12-31,Thursday,20:44:00,210,2,23F,Larceny From Vehicle,Lenox,B,33.851566,-84.358703
203661875,2020-12-20,Sunday,17:00:00,608,6,23H,Larceny Non Vehicle,Candler Park,N,33.771578,-84.341819
203661958,2020-12-31,Thursday,20:30:00,507,5,240,Auto Theft,Downtown,M,33.762915,-84.397081
203661993,2020-01-31,Friday,20:30:00,508,5,23F,Larceny From Vehicle,Downtown,M,33.757453,-84.392698
203662008,2020-12-31,Thursday,20:30:00,604,6,23F,Larceny From Vehicle,Old Fourth Ward,M,33.757564,-84.365631
203662299,2020-12-31,Thursday,23:36:00,512,5,23F,Larceny From Vehicle,Downtown,M,33.750347,-84.38958
210006524,2021-11-22,Monday,18:45:00,503,5,23F,Larceny From Vehicle,Midtown,E,33.785739,-84.384261
210010121,2021-01-01,Friday,00:39:00,402,4,13A,Agg Assault,Oakland City,S,33.731062,-84.433226
210010139,2020-12-31,Thursday,23:30:00,603,6,23F,Larceny From Vehicle,Old Fourth Ward,M,33.767295,-84.380468
210010163,2020-12-31,Thursday,22:00:00,506,5,23F,Larceny From Vehicle,English Avenue,L,33.76598,-84.405293
210010373,2020-12-31,Thursday,22:00:00,504,5,23F,Larceny From Vehicle,Downtown,M,33.765158,-84.386233
210010400,2021-01-01,Friday,02:34:00,207,2,23F,Larceny From Vehicle,Loring Heights,E,33.793611,-84.407424
210010518,2020-12-31,Thursday,11:15:00,504,5,23H,Larceny Non Vehicle,Downtown,M,33.764971,-84.395772
210010526,2021-01-01,Friday,03:47:00,501,5,13A,Agg Assault,Home Park,E,33.782197,-84.41389
210010559,2021-01-01,Friday,03:00:00,110,1,13A,Agg Assault,Scotts Crossing,G,33.805827,-84.464735
210010566,2021-01-01,Friday,04:14:00,409,4,13A,Agg Assault,Southwest,R,33.697002,-84.485047
210010577,2021-01-01,Friday,04:23:00,102,1,13A,Agg Assault,Vine City,L,33.762881,-84.415359
210010627,2021-01-01,Friday,05:07:00,113,1,23C,Larceny Non Vehicle,Scotts Crossing,G,33.805366,-84.471107
210010745,2021-01-01,Friday,01:00:00,106,1,23F,Larceny From Vehicle,Bankhead,K,33.764499,-84.417656
210010750,2020-12-04,Friday,07:43:00,501,5,23H,Larceny Non Vehicle,Home Park,E,33.787167,-84.407401
210010782,2021-01-01,Friday,04:00:00,106,1,23F,Larceny From Vehicle,Bankhead,K,33.771535,-84.421739
210010803,2021-01-01,Friday,08:40:00,612,6,13A,Agg Assault,East Atlanta,W,33.7421,-84.340109
210010873,2021-01-01,Friday,03:30:00,409,4,23H,Larceny Non Vehicle,Southwest,R,33.704541999999996,-84.468344
210010902,2020-12-31,Thursday,19:00:00,412,4,240,Auto Theft,Heritage Valley,P,33.700309,-84.500445
210010968,2021-01-01,Friday,11:41:00,304,3,23D,Larceny Non Vehicle,Summerhill,V,33.732999,-84.39127
210010973,2021-01-01,Friday,11:35:00,105,1,23F,Larceny From Vehicle,West Lake,J,33.763249,-84.439921
210010977,2021-01-01,Friday,03:00:00,507,5,240,Auto Theft,Downtown,M,33.757817,-84.395095
210010983,2021-01-01,Friday,00:00:00,413,4,13A,Agg Assault,Arlington Estates,P,33.69436,-84.534942
210011014,2021-01-01,Friday,12:00:00,309,3,120,Robbery,Perkerson,X,33.692221,-84.409301
210011019,2020-12-31,Thursday,15:30:00,609,6,23H,Larceny Non Vehicle,Edgewood,O,33.749305,-84.343817
210011048,2021-01-01,Friday,11:00:00,212,2,23F,Larceny From Vehicle,Lindridge/Martin Manor,F,33.818689,-84.349179
210011056,2021-01-01,Friday,12:44:00,604,6,13A,Agg Assault,Sweet Auburn,M,33.752854,-84.372235
210011100,2020-12-31,Thursday,19:30:00,206,2,23F,Larceny From Vehicle,Garden Hills,B,33.836296,-84.379869
210011121,2021-01-01,Friday,00:15:00,303,3,23F,Larceny From Vehicle,Adair Park,V,33.741659,-84.409376
210011347,2021-01-01,Friday,15:45:00,510,5,23H,Larceny Non Vehicle,Downtown,M,33.759555,-84.387521
210011358,2021-01-01,Friday,14:40:00,210,2,23F,Larceny From Vehicle,Lenox,B,33.846726,-84.36242
210011372,2021-01-01,Friday,01:00:00,604,6,13A,Agg Assault,Old Fourth Ward,M,33.759634,-84.371495
210011385,2020-12-20,Sunday,00:00:00,604,6,240,Auto Theft,Old Fourth Ward,M,33.755412,-84.372062
210011401,2021-01-01,Friday,16:09:00,112,1,23C,Larceny Non Vehicle,Collier Heights,I,33.777383,-84.477433
210011444,2021-01-01,Friday,00:00:00,504,5,23F,Larceny From Vehicle,Downtown,M,33.766846,-84.393667
210011666,2021-01-01,Friday,18:40:00,207,2,240,Auto Theft,Loring Heights,E,33.801078,-84.407444
210011679,2021-01-01,Friday,18:46:00,207,2,23F,Larceny From Vehicle,Berkeley Park,D,33.792566,-84.408791
210011692,2021-01-01,Friday,12:00:00,602,6,23F,Larceny From Vehicle,Poncey-Highland,N,33.773167,-84.35209
210011740,2021-01-01,Friday,19:17:00,508,5,23H,Larceny Non Vehicle,Downtown,M,33.757453,-84.392698
210011745,2021-01-01,Friday,20:34:00,507,5,240,Auto Theft,Castleberry Hill,M,33.746206,-84.406192
210011800,2021-01-01,Friday,19:15:00,609,6,23F,Larceny From Vehicle,Edgewood,O,33.756765,-84.346096
210011832,2021-01-01,Friday,20:00:00,302,3,13A,Agg Assault,Pittsburgh,V,33.725507,-84.406084
210011838,2021-01-01,Friday,19:40:00,502,5,240,Auto Theft,Midtown,E,33.788905,-84.388645
210011871,2021-01-01,Friday,10:00:00,504,5,23H,Larceny Non Vehicle,Downtown,M,33.765134,-84.389234
210011888,2021-01-01,Friday,20:45:00,207,2,220,Burglary,Berkeley Park,D,33.80083,-84.408358
210011897,2021-01-01,Friday,20:52:00,204,2,23C,Larceny Non Vehicle,Berkeley Park,D,33.80328,-84.411933
210011902,2020-12-27,Sunday,20:14:00,201,2,220,Burglary,Westminster/Milmar,C,33.835722,-84.423697
210011919,2021-01-01,Friday,21:00:00,211,2,240,Auto Theft,Lindbergh/Morosgo,B,33.823529,-84.367174
210011976,2021-01-01,Friday,21:44:00,506,5,23C,Larceny Non Vehicle,English Avenue,L,33.772828,-84.41076
210011981,2021-01-01,Friday,20:00:00,210,2,23H,Larceny Non Vehicle,Lenox,B,33.84734,-84.36611
210011987,2021-01-01,Friday,10:00:00,506,5,240,Auto Theft,English Avenue,L,33.763694,-84.412825
210012010,2021-01-01,Friday,18:30:00,613,6,240,Auto Theft,Morningside/Lenox Park,F,33.791822,-84.357429
210012024,2021-01-01,Friday,21:55:00,508,5,240,Auto Theft,Downtown,M,33.764315,-84.388238
210012084,2021-01-01,Friday,21:30:00,206,2,240,Auto Theft,Buckhead Village,B,33.840873,-84.375181
210012097,2021-01-01,Friday,23:03:00,411,4,220,Burglary,Greenbriar,R,33.668151,-84.495048
210012125,2021-01-01,Friday,23:00:00,610,6,23F,Larceny From Vehicle,Kirkwood,O,33.758159,-84.315764
210012148,2021-01-01,Friday,21:30:00,206,2,13A,Agg Assault,Buckhead Village,B,33.837783,-84.378171
210012151,2021-01-01,Friday,20:30:00,503,5,23F,Larceny From Vehicle,Midtown,E,33.78559,-84.385084
210012202,2021-01-01,Friday,23:20:00,509,5,23F,Larceny From Vehicle,Downtown,M,33.769499,-84.384866
210020042,2021-01-02,Saturday,00:16:00,409,4,23F,Larceny From Vehicle,Southwest,R,33.695971,-84.486373
210020103,2021-01-01,Friday,20:30:00,211,2,23F,Larceny From Vehicle,Peachtree Park,B,33.840733,-84.368801
210020193,2021-01-02,Saturday,01:22:00,209,2,13A,Agg Assault,North Buckhead,B,33.856466,-84.382005
210020202,2021-01-01,Friday,19:00:00,101,1,240,Auto Theft,Atlanta University Center,T,33.754554,-84.417123
210020236,2021-01-02,Saturday,01:15:00,510,5,13A,Agg Assault,Downtown,M,33.756076,-84.382521
210020241,2021-01-01,Friday,22:00:00,503,5,23F,Larceny From Vehicle,Midtown,E,33.783329,-84.380282
210020275,2021-01-01,Friday,23:00:00,602,6,23F,Larceny From Vehicle,Poncey-Highland,N,33.773421,-84.361857
210020289,2021-01-02,Saturday,02:17:00,510,5,23F,Larceny From Vehicle,Downtown,M,33.755718,-84.379323
210020313,2021-01-02,Saturday,02:34:00,206,2,23F,Larceny From Vehicle,Garden Hills,B,33.835149,-84.369053
210020339,2021-01-01,Friday,23:30:00,503,5,23F,Larceny From Vehicle,Midtown,E,33.780853,-84.388681
210020350,2021-01-02,Saturday,03:00:00,612,6,220,Burglary,East Atlanta,W,33.743707,-84.347931
210020390,2021-01-02,Saturday,03:10:00,506,5,120,Robbery,English Avenue,L,33.764033,-84.414086
210020398,2021-01-02,Saturday,00:01:00,507,5,23F,Larceny From Vehicle,Downtown,M,33.765754,-84.397819
